INDICE,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,NMI1,NMI2,CAPIDEP,CAPIPRO,CAPIDIS
0,AMAZONAS,BAGUA,ARAMANGO,EL MUYO (C.P.L.),-5.422545,-78.45299,311,1206,AMAZONAS,BAGUA,ARAMANGO
1,AMAZONAS,BAGUA,ARAMANGO,RESERVA UJUCANO,-5.427565,-78.444372,44,129,NO,NO,NO
2,AMAZONAS,BAGUA,ARAMANGO,TUTUMBEROS,-5.327317,-78.44472,49,179,NO,NO,NO
3,AMAZONAS,BAGUA,BAGUA,ALENYA BAJO,-5.682439,-78.495229,3,8,NO,NO,BAGUA
4,AMAZONAS,BONGARA,CUISPES,MITOPAMPA,-5.93856,-77.965302,1,4,NO,BONGARA,CUISPES
5,AMAZONAS,BONGARA,JAZAN,NUEVA ESPERANZA,-5.935482,-77.976755,4,15,NO,NO,JAZAN
6,AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ GALLO,-5.941387,-77.977098,1365,5361,NO,NO,NO
7,AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ,-5.94069,-77.97635,2,7,NO,NO,NO
8,AMAZONAS,BONGARA,JAZAN,SAN JERONIMO,-5.95036,-77.97886,3,6,NO,NO,NO
9,AMAZONAS,BONGARA,JAZAN,SANTA ROSA,-5.932149,-77.972108,1,5,NO,NO,NO
10,AMAZONAS,BONGARA,JAZAN,SEÑOR DE GUALAMITA,-5.935217,-77.974682,11,36,NO,NO,NO
11,AMAZONAS,BONGARA,JAZAN,VILLA ERNESTINA,-5.934992,-77.977918,0,0,NO,NO,NO
12,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALCAPARROSA,-6.982368,-77.932555,1,4,NO,CHACHAPOYAS,CHUQUIBAMBA
13,AMAZONAS,UTCUBAMBA,CAJARURO,NARANJITOS,-5.814901,-78.277449,177,577,NO,UTCUBAMBA,CAJARURO
14,AMAZONAS,UTCUBAMBA,CUMBA,AGUA AZUL,-5.969275,-78.619398,1,1,NO,NO,CUMBA
15,AMAZONAS,UTCUBAMBA,CUMBA,CHALA,-5.973545,-78.633153,1,6,NO,NO,NO
16,AMAZONAS,UTCUBAMBA,CUMBA,PUERTO CHOROS,-5.894283,-78.687223,1,4,NO,NO,NO
17,AMAZONAS,UTCUBAMBA,CUMBA,TAGTAGO,-5.981024,-78.630186,202,562,NO,NO,NO
18,AMAZONAS,UTCUBAMBA,EL MILAGRO,PAPAYA BAJA (PARCIALIDAD),-5.560332,-78.570703,15,33,NO,NO,EL MILAGRO
19,AMAZONAS,UTCUBAMBA,JAMALCA,PUERTO NARANJITOS,-5.82154,-78.275662,102,360,NO,NO,JAMALCA
20,AMAZONAS,UTCUBAMBA,LONYA GRANDE,ARCURCO,-6.101007,-78.417463,0,0,NO,NO,LONYA GRANDE
21,AMAZONAS,UTCUBAMBA,LONYA GRANDE,BOLIVIA,-6.101328,-78.427833,1,3,NO,NO,NO
22,AMAZONAS,UTCUBAMBA,LONYA GRANDE,LONYA GRANDE,-6.096373,-78.422516,698,2896,NO,NO,NO
23,AMAZONAS,UTCUBAMBA,LONYA GRANDE,MANCARRON,-6.096585,-78.428543,2,4,NO,NO,NO
24,AMAZONAS,UTCUBAMBA,LONYA GRANDE,MATULI,-6.106335,-78.416907,1,1,NO,NO,NO
25,ANCASH,ANTONIO RAYMONDI,ACZO,MARNE,-9.170022,-76.960563,2,7,ANCASH,ANTONIO RAYMONDI,ACZO
26,ANCASH,ANTONIO RAYMONDI,ACZO,PUSHCA (PUSHKA),-9.166743,-76.960517,1,1,NO,NO,NO
27,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,CHAMANA,-10.204873,-77.556638,20,76,NO,BOLOGNESI,ANTONIO RAYMONDI
28,ANCASH,BOLOGNESI,CHIQUIAN,MESAPAMPA,-10.14106,-77.25302,5,15,NO,NO,CHIQUIAN
29,ANCASH,BOLOGNESI,COLQUIOC,LLAMA RUMI,-10.237933,-77.568218,34,139,NO,NO,COLQUIOC
30,ANCASH,BOLOGNESI,HUALLANCA,CAJUN PUQUIO(CAJON PUQUIO),-9.891118,-76.947935,1,2,NO,NO,HUALLANCA
31,ANCASH,BOLOGNESI,HUALLANCA,HUALLANCA,-9.89946,-76.941805,1138,5064,NO,NO,NO
32,ANCASH,CARHUAZ,ANTA,ICHIK HUACRAN,-9.335968,-77.617961,2,4,NO,CARHUAZ,ANTA
33,ANCASH,CARHUAZ,ANTA,LUCMA,-9.340442,-77.602058,11,41,NO,NO,NO
34,ANCASH,CARHUAZ,ANTA,PIÑIURAN,-9.335448,-77.603627,35,108,NO,NO,NO
35,ANCASH,CARHUAZ,ANTA,PIÑIURAN,-9.335448,-77.603627,35,108,NO,NO,NO
36,ANCASH,CARHUAZ,ANTA,TRANCAPAMPA,-9.334875,-77.617245,46,160,NO,NO,NO
37,ANCASH,CARHUAZ,MARCARA,HUASHCAR,-9.334195,-77.619963,31,103,NO,NO,MARCARA
38,ANCASH,CARHUAZ,MARCARA,PUENTE - NUEVA FLORIDA,-9.331207,-77.604138,27,100,NO,NO,NO
39,ANCASH,CARHUAZ,PARIAHUANCA,BELLAVISTA,-9.363447,-77.570888,23,79,NO,NO,PARIAHUANCA
40,ANCASH,CARHUAZ,PARIAHUANCA,ICHIC AHUAC,-9.370518,-77.567633,10,35,NO,NO,NO
41,ANCASH,CARHUAZ,PARIAHUANCA,INDEPENDENCIA,-9.360408,-77.579388,19,63,NO,NO,NO
42,ANCASH,CARHUAZ,PARIAHUANCA,PARIAHUANCA,-9.365146,-77.580846,191,624,NO,NO,NO
43,ANCASH,CARHUAZ,PARIAHUANCA,PUMPUC,-9.3615,-77.58679,16,46,NO,NO,NO
44,ANCASH,CARHUAZ,PARIAHUANCA,SAN ISIDRO,-9.365168,-77.572123,30,82,NO,NO,NO
45,ANCASH,CARHUAZ,PARIAHUANCA,SAN MARTIN,-9.36652,-77.573995,21,69,NO,NO,NO
46,ANCASH,CARHUAZ,PARIAHUANCA,VIRGEN DEL CARMEN,-9.367005,-77.576615,26,87,NO,NO,NO
47,ANCASH,CARHUAZ,PARIAHUNCA,PARIAHUANCA,-9.365146,-77.580846,191,624,NO,NO,PARIAHUNCA
48,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,ACO,-9.36831,-77.564365,105,386,NO,NO,SAN MIGUEL DE ACO
49,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,ACO,-9.37001,-77.55944,5,17,NO,NO,NO
50,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,SAN ANTONIO,-9.365323,-77.558493,38,111,NO,NO,NO
51,ANCASH,CARHUAZ,TINCO,PAMPAC,-9.264677,-77.674533,104,378,NO,NO,TINCO
52,ANCASH,CASMA,BUENA VISTA ALTA,BUENA VISTA ALTA,-9.432502,-78.206817,116,359,NO,CASMA,BUENA VISTA ALTA
53,ANCASH,CASMA,BUENA VISTA ALTA,HEROES DEL CENEPA-BUENA VISTA BAJA,-9.440415,-78.210577,359,1151,NO,NO,NO
54,ANCASH,CASMA,BUENA VISTA ALTA,TUCUSHUANCA,-9.392632,-78.192338,2,4,NO,NO,NO
55,ANCASH,CASMA,CASMA,NIVIN,-9.53928,-78.140234,5,8,NO,NO,CASMA
56,ANCASH,CASMA,CASMA,PORTADA ALTA,-9.54531,-78.13189,0,0,NO,NO,NO
57,ANCASH,CASMA,YAUTAN,CACHIPAMPA BAJA,-9.516521,-78.05194,240,863,NO,NO,YAUTAN
58,ANCASH,CASMA,YAUTAN,CACHIPAMPA BAJA,-9.517547,-78.055592,32,99,NO,NO,NO
59,ANCASH,CASMA,YAUTAN,CRUZ PUNTA,-9.51257,-78.06033,1,2,NO,NO,NO
60,ANCASH,CASMA,YAUTAN,JAIHUA ALTA,-9.531342,-78.072337,116,405,NO,NO,NO
61,ANCASH,CASMA,YAUTAN,JAIHUA BAJA,-9.52925,-78.076603,41,147,NO,NO,NO
62,ANCASH,CASMA,YAUTAN,LA HOYADA ALTA,-9.53694,-78.078972,8,21,NO,NO,NO
63,ANCASH,CASMA,YAUTAN,LA HOYADA BAJA,-9.530733,-78.082602,33,109,NO,NO,NO
64,ANCASH,CASMA,YAUTAN,MUÑA,-9.515087,-78.058253,29,111,NO,NO,NO
65,ANCASH,CASMA,YAUTAN,MUÑA,-9.515087,-78.058253,29,111,NO,NO,NO
66,ANCASH,HUARAZ,COCHABAMBA,ALLPAQUITA,-9.463057,-77.827767,5,14,NO,HUARAZ,COCHABAMBA
67,ANCASH,HUARAZ,COCHABAMBA,CARHUAC,-9.458563,-77.828353,4,9,NO,NO,NO
68,ANCASH,HUARAZ,COCHABAMBA,NULLHUE,-9.459722,-77.825937,12,36,NO,NO,NO
69,ANCASH,HUARAZ,COCHABAMBA,PACHE,-9.464762,-77.825515,10,28,NO,NO,NO
70,ANCASH,HUARAZ,COCHABAMBA,PALLAC,-9.463138,-77.819933,6,14,NO,NO,NO
71,ANCASH,HUARAZ,COCHABAMBA,TAYACOTO,-9.459892,-77.822395,4,13,NO,NO,NO
72,ANCASH,HUARAZ,COCHABAMBA,USHNO,-9.464708,-77.828365,1,4,NO,NO,NO
73,ANCASH,HUARAZ,COCHABAMBA,YAMTAC,-9.468373,-77.830397,2,11,NO,NO,NO
74,ANCASH,HUARAZ,HUARAZ,BELLA VISTA,-9.543621,-77.519159,4,16,NO,NO,HUARAZ
75,ANCASH,HUARAZ,HUARAZ,CHICORURI,-9.536538,-77.535464,7,20,NO,NO,NO
76,ANCASH,HUARAZ,HUARAZ,HUACAPAMPA,-9.54062,-77.53554,7,42,NO,NO,NO
77,ANCASH,HUARAZ,HUARAZ,QUERAR,-9.552607,-77.515956,1,4,NO,NO,NO
78,ANCASH,HUARAZ,HUARAZ,SHAURAMA,-9.545517,-77.527528,1,1,NO,NO,NO
79,ANCASH,HUARAZ,INDEPENDENCIA,CARIANPAMPA,-9.447413,-77.542585,41,150,NO,NO,INDEPENDENCIA
80,ANCASH,HUARAZ,INDEPENDENCIA,CHURAP,-9.451822,-77.530777,56,199,NO,NO,NO
81,ANCASH,HUARAZ,INDEPENDENCIA,ORCON,-9.445876,-77.537599,8,20,NO,NO,NO
82,ANCASH,HUARAZ,INDEPENDENCIA,SANTA ROSA,-9.456838,-77.538868,70,268,NO,NO,NO
83,ANCASH,HUARAZ,INDEPENDENCIA,SANTA ROSA,-9.456838,-77.538868,70,268,NO,NO,NO
84,ANCASH,HUARAZ,JANGAS,HUAYPISHKA,-9.39606,-77.58009,3,7,NO,NO,JANGAS
85,ANCASH,HUARAZ,PAMPAS,CHUNCHIN,-9.657127,-77.830553,1,2,NO,NO,PAMPAS
86,ANCASH,HUARAZ,PAMPAS,MATARA,-9.659635,-77.822707,27,74,NO,NO,NO
87,ANCASH,HUARAZ,PAMPAS,PAMPAS GRANDE,-9.655206,-77.825988,124,332,NO,NO,NO
88,ANCASH,HUARAZ,PAMPAS,QUELLEACANAN,-9.651948,-77.836348,0,0,NO,NO,NO
89,ANCASH,HUARAZ,PAMPAS,SIGLO CRUZ,-9.656203,-77.824035,1,3,NO,NO,NO
90,ANCASH,HUARAZ,PAMPAS,TUCLLU PAMPA,-9.66481,-77.823037,0,0,NO,NO,NO
91,ANCASH,HUARAZ,PARIACOTO,RACRAO ALTO,-9.538512,-77.901082,11,25,NO,NO,PARIACOTO
92,ANCASH,HUARAZ,PARIACOTO,RACRAO BAJO,-9.542058,-77.904938,27,70,NO,NO,NO
93,ANCASH,HUARAZ,PARIACOTO,SAN CRISTOBAL DE RACRAO,-9.539528,-77.90691,10,24,NO,NO,NO
94,ANCASH,HUARAZ,TARICA,ANCUSHA,-9.425523,-77.549735,5,13,NO,NO,TARICA
95,ANCASH,HUARAZ,TARICA,BUENOS AIRES DE KARIRAC,-9.430168,-77.541832,92,302,NO,NO,NO
96,ANCASH,HUARAZ,TARICA,HUANCAPU,-9.428508,-77.546205,31,84,NO,NO,NO
97,ANCASH,HUARAZ,TARICA,HUANJA CHICO,-9.423468,-77.545445,11,28,NO,NO,NO
98,ANCASH,HUARAZ,TARICA,MALLQUI,-9.39194,-77.56968,0,0,NO,NO,NO
99,ANCASH,HUARAZ,TARICA,PAMPAHUAIN,-9.417687,-77.550402,12,33,NO,NO,NO
100,ANCASH,HUARAZ,TARICA,SAN ANTONIO,-9.389497,-77.564208,10,35,NO,NO,NO
101,ANCASH,HUARAZ,TARICA,TARA,-9.4215,-77.551475,7,20,NO,NO,NO
102,ANCASH,HUARAZ,TARICA,TARICA,-9.393582,-77.575046,392,1419,NO,NO,NO
103,ANCASH,HUARAZ,TARICA,UCHUYACU,-9.426267,-77.552062,73,243,NO,NO,NO
104,ANCASH,HUARI,CHAVIN DE HUANTAR,CHAVIN DE HUANTAR,-9.588503,-77.178408,622,2384,NO,HUARI,CHAVIN DE HUANTAR
105,ANCASH,HUARI,CHAVIN DE HUANTAR,LA FLORIDA,-9.595427,-77.180512,8,21,NO,NO,NO
106,ANCASH,HUARI,CHAVIN DE HUANTAR,SHAYAPA,-9.588063,-77.179347,3,12,NO,NO,NO
107,ANCASH,HUARI,HUARI,POMACHACA,-9.39357,-77.142633,12,28,NO,NO,HUARI
108,ANCASH,HUARI,MASIN,MITUBAMBA,-9.351225,-77.079333,4,11,NO,NO,MASIN
109,ANCASH,HUARI,MASIN,HUAYTUNA,-9.359442,-77.081418,58,181,NO,NO,NO
110,ANCASH,HUARI,MASIN,MITUBAMBA,-9.351225,-77.079333,4,11,NO,NO,NO
111,ANCASH,HUARI,MASIN,POMACHACA,-9.392602,-77.138648,15,38,NO,NO,NO
112,ANCASH,HUARI,RAHUAPAMPA,RAHUAPAMPA,-9.359254,-77.078653,114,496,NO,NO,RAHUAPAMPA
113,ANCASH,HUARI,SAN MARCOS,CARHUAYOC,-9.528527,-77.127203,346,1167,NO,NO,SAN MARCOS
114,ANCASH,HUARI,SAN MARCOS,CARMEN ROSA,-9.58737,-77.174348,44,174,NO,NO,NO
115,ANCASH,HUARI,SAN MARCOS,GAUCHO,-9.592382,-77.175117,65,203,NO,NO,NO
116,ANCASH,HUARI,SAN MARCOS,MARIASH,-9.59641,-77.175897,9,25,NO,NO,NO
117,ANCASH,HUARI,UCO,AUYO,-9.17762,-76.953993,3,12,NO,NO,UCO
118,ANCASH,HUARI,UCO,LUCMA,-9.176573,-76.950515,5,6,NO,NO,NO
119,ANCASH,HUARI,UCO,PUCHCA,-9.171367,-76.960645,32,132,NO,NO,NO
120,ANCASH,HUARI,UCO,PUCUZ,-9.173183,-76.946692,3,3,NO,NO,NO
121,ANCASH,HUARI,UCO,PUCUZ,-9.173183,-76.976692,3,3,NO,NO,NO
122,ANCASH,HUARI,UCO,QUETZAMARCA,-9.181695,-76.951015,4,5,NO,NO,NO
123,ANCASH,HUARI,UCO,SHOGOSHMARCA,-9.17817,-76.946913,7,16,NO,NO,NO
124,ANCASH,HUAYLAS,CARAZ,CONOPA GRANDE,-9.086405,-77.817242,61,235,NO,HUAYLAS,CARAZ
125,ANCASH,HUAYLAS,CARAZ,HUACRACOTO,-9.081002,-77.803862,42,139,NO,NO,NO
126,ANCASH,HUAYLAS,CARAZ,RINCONADA,-9.074853,-77.793933,47,150,NO,NO,NO
127,ANCASH,HUAYLAS,PUEBLO LIBRE,CONOPA CHICO,-9.092503,-77.827818,20,80,NO,NO,PUEBLO LIBRE
128,ANCASH,HUAYLAS,PUEBLO LIBRE,TOCASH,-9.087312,-77.793802,117,443,NO,NO,NO
129,ANCASH,OCROS,ACAS,LLAMACHUPAN ANTIGUO,-10.603473,-77.408185,10,28,NO,OCROS,ACAS
130,ANCASH,OCROS,COCHAS,MICAELA BASTIDAS (VENADO MUERTO),-10.755987,-77.560485,67,216,NO,NO,COCHAS
131,ANCASH,POMABAMBA,POMABAMBA,HUAYCOCOLLPA,-8.829342,-77.456083,55,187,NO,POMABAMBA,POMABAMBA
132,ANCASH,POMABAMBA,POMABAMBA,AYLAHUAYON,-8.823,-77.46254,0,0,NO,NO,NO
133,ANCASH,POMABAMBA,POMABAMBA,BUENA VISTA,-8.814178,-77.46201,2,9,NO,NO,NO
134,ANCASH,POMABAMBA,POMABAMBA,COMUNPAMPA,-8.825402,-77.462425,11,49,NO,NO,NO
135,ANCASH,POMABAMBA,POMABAMBA,CUSHURU,-8.8128,-77.460532,21,72,NO,NO,NO
136,ANCASH,POMABAMBA,POMABAMBA,DANZANA,-8.826398,-77.454227,17,55,NO,NO,NO
137,ANCASH,POMABAMBA,POMABAMBA,HAMPASH,-8.821588,-77.452942,50,162,NO,NO,NO
138,ANCASH,POMABAMBA,POMABAMBA,HUAJTACHACRA,-8.812837,-77.46401,8,31,NO,NO,NO
139,ANCASH,POMABAMBA,POMABAMBA,HUAMPOCRUZ,-8.823137,-77.453415,29,105,NO,NO,NO
140,ANCASH,POMABAMBA,POMABAMBA,HUARIJIRCA,-8.827718,-77.464087,6,20,NO,NO,NO
141,ANCASH,POMABAMBA,POMABAMBA,HUAYCOCOLLPA,-8.829342,-77.456083,55,187,NO,NO,NO
142,ANCASH,POMABAMBA,POMABAMBA,INCARAGA,-8.828307,-77.466157,5,27,NO,NO,NO
143,ANCASH,POMABAMBA,POMABAMBA,MISHICOCHA,-8.812075,-77.455183,14,44,NO,NO,NO
144,ANCASH,POMABAMBA,POMABAMBA,PARARA,-8.828895,-77.460665,27,109,NO,NO,NO
145,ANCASH,POMABAMBA,POMABAMBA,PAUCHOS,-8.807767,-77.464122,58,232,NO,NO,NO
146,ANCASH,POMABAMBA,POMABAMBA,PICHACPAMPA,-8.81427,-77.45627,24,78,NO,NO,NO
147,ANCASH,POMABAMBA,POMABAMBA,POMABAMBA,-8.821054,-77.460342,1405,5667,NO,NO,NO
148,ANCASH,POMABAMBA,POMABAMBA,PUMACUCHO,-8.813238,-77.470107,0,0,NO,NO,NO
149,ANCASH,POMABAMBA,POMABAMBA,TAURIBAMBA,-8.817643,-77.468438,5,12,NO,NO,NO
150,ANCASH,POMABAMBA,POMABAMBA,UCUSHCASHA,-8.831268,-77.454742,32,114,NO,NO,NO
151,ANCASH,POMABAMBA,POMABAMBA,VISTA FLORIDA,-8.817734,-77.456273,26,111,NO,NO,NO
152,ANCASH,RECUAY,CATAC,ACOPALLCA,-10.08926,-77.260708,0,0,NO,RECUAY,CATAC
153,ANCASH,RECUAY,CATAC,BELLAVISTA,-10.02659,-77.264735,1,1,NO,NO,NO
154,ANCASH,RECUAY,CATAC,COLLOTA,-10.083668,-77.251622,1,1,NO,NO,NO
155,ANCASH,RECUAY,CATAC,COTO COTO,-10.07729,-77.27052,2,2,NO,NO,NO
156,ANCASH,RECUAY,CATAC,CRUZ CANCHA,-10.064153,-77.271777,1,2,NO,NO,NO
157,ANCASH,RECUAY,CATAC,ESCUELAWAY,-10.033745,-77.268387,0,0,NO,NO,NO
158,ANCASH,RECUAY,CATAC,ISCU,-10.071645,-77.301893,1,2,NO,NO,NO
159,ANCASH,RECUAY,CATAC,JATUN ISCU,-10.074037,-77.305302,1,1,NO,NO,NO
160,ANCASH,RECUAY,CATAC,LACTU CORRAL,-10.07314,-77.263098,0,0,NO,NO,NO
161,ANCASH,RECUAY,CATAC,MESAPAMPA,-10.058515,-77.272943,7,15,NO,NO,NO
162,ANCASH,RECUAY,CATAC,MUSHOC CANCHA,-10.089265,-77.260667,1,1,NO,NO,NO
163,ANCASH,RECUAY,CATAC,PATACANCHA,-10.093895,-77.292387,0,0,NO,NO,NO
164,ANCASH,RECUAY,CATAC,PEQUE PALLCA,-9.923525,-77.39652,0,0,NO,NO,NO
165,ANCASH,RECUAY,CATAC,PILLCOCANCHA,-10.061665,-77.269468,0,0,NO,NO,NO
166,ANCASH,RECUAY,CATAC,PIÑAO,-10.084665,-77.26907,0,0,NO,NO,NO
167,ANCASH,RECUAY,CATAC,RACHACOCO,-9.910088,-77.40051,0,0,NO,NO,NO
168,ANCASH,RECUAY,CATAC,RECRETA,-10.035367,-77.31706,0,0,NO,NO,NO
169,ANCASH,RECUAY,CATAC,ROMATAMBO,-10.023738,-77.309727,9,22,NO,NO,NO
170,ANCASH,RECUAY,CATAC,SAN JUAN,-10.050588,-77.317593,0,0,NO,NO,NO
171,ANCASH,RECUAY,CATAC,SAN JUAN,-10.05088,-77.317593,0,0,NO,NO,NO
172,ANCASH,RECUAY,CATAC,SANTA ROSA,-10.083868,-77.296477,0,0,NO,NO,NO
173,ANCASH,RECUAY,CATAC,SANTO DOMINGO,-10.066065,-77.296848,0,0,NO,NO,NO
174,ANCASH,RECUAY,CATAC,TAPARA,-9.90881,-77.363557,0,0,NO,NO,NO
175,ANCASH,RECUAY,CATAC,TSACA CUTA,-10.116472,-77.275493,0,0,NO,NO,NO
176,ANCASH,RECUAY,CATAC,VISTA ALEGRE,-10.03413,-77.27771,1,1,NO,NO,NO
177,ANCASH,RECUAY,CATAC,VISTA ALEGRE,-10.03413,-77.27771,1,1,NO,NO,NO
178,ANCASH,RECUAY,CATAC,YANAHUANCA,-10.03425,-77.288212,0,0,NO,NO,NO
179,ANCASH,RECUAY,PARARIN,KARKA HUAIN,-10.250923,-77.577542,2,6,NO,NO,PARARIN
180,ANCASH,SANTA,CACERES DEL PERU,COCHAPETI,-8.983993,-78.022952,67,232,NO,SANTA,CACERES DEL PERU
181,ANCASH,SANTA,CACERES DEL PERU,LA PLAYA,-8.931117,-78.143443,0,0,NO,NO,NO
182,ANCASH,SANTA,CACERES DEL PERU,LAMPANIN,-8.93468,-78.145223,17,49,NO,NO,NO
183,ANCASH,SANTA,CACERES DEL PERU,TEJAHUAI,-8.932087,-78.14384,2,4,NO,NO,NO
184,ANCASH,SANTA,CHIMBOTE,CANTERA DE VINZOS,-8.767696,-78.533672,4,10,NO,NO,CHIMBOTE
185,ANCASH,SANTA,CHIMBOTE,CASCAJAL ALTO (CAMPAMENTO),-8.89755,-78.493466,77,266,NO,NO,NO
186,ANCASH,SANTA,CHIMBOTE,EL PEDREGAL,-8.810732,-78.552503,528,1576,NO,NO,NO
187,ANCASH,SANTA,CHIMBOTE,TABLONES,-8.702558,-78.386886,8,68,NO,NO,NO
188,ANCASH,SANTA,CHIMBOTE,VALLE EL PROGRESO,-8.864878,-78.542051,108,401,NO,NO,NO
189,ANCASH,SANTA,COISHCO,COISHCO,-9.023163,-78.616148,4089,15979,NO,NO,COISHCO
190,ANCASH,SANTA,MORO,HUAMBACHO,-9.150853,-78.179677,16,55,NO,NO,MORO
191,ANCASH,SANTA,MORO,HUECOR,-9.145253,-78.16878,0,0,NO,NO,NO
192,ANCASH,SANTA,MORO,LIMONHIRCA,-9.142952,-78.168357,52,148,NO,NO,NO
193,ANCASH,SANTA,MORO,VALDIVIA,-9.150283,-78.178198,1,4,NO,NO,NO
194,ANCASH,SANTA,MORO,VINCHAMARCA CHICA,-9.156138,-78.180482,27,100,NO,NO,NO
195,ANCASH,SANTA,MORO,VINCHAMARCA GRANDE,-9.15055,-78.167465,12,28,NO,NO,NO
196,ANCASH,SANTA,NEPEÑA,CERRO BLANCO,-9.183938,-78.341335,226,828,NO,NO,NEPEÑA
197,ANCASH,SANTA,NEPEÑA,SAN JACINTO,-9.145455,-78.276634,2454,8470,NO,NO,NO
198,ANCASH,SANTA,NUEVO CHIMBOTE,BASE 6,-9.093587,-78.476502,11,36,NO,NO,NUEVO CHIMBOTE
199,ANCASH,SANTA,SAMANCO,LA CAPILLA,-9.264283,-78.474065,73,320,NO,NO,SAMANCO
200,ANCASH,SANTA,SAMANCO,LOS CHIMUS,-9.319132,-78.47672,88,263,NO,NO,NO
201,ANCASH,SANTA,SANTA,LA PRIMAVERA,-9.013013,-78.619324,6,26,NO,NO,SANTA
202,ANCASH,SIHUAS,CASHAPAMPA,HUANCHAJ,-8.551607,-77.643983,26,92,NO,SIHUAS,CASHAPAMPA
203,ANCASH,SIHUAS,SIHUAS,+âÔÇÿUNYASH,-8.545538,-77.63789,6,20,NO,NO,SIHUAS
204,ANCASH,SIHUAS,SIHUAS,SHACTAY ARRIBA,-8.549357,-77.632458,4,7,NO,NO,NO
205,ANCASH,SIHUAS,SIHUAS,SIHUAS,-8.554398,-77.630919,1133,4354,NO,NO,NO
206,ANCASH,SIHUAS,SIHUAS,SIRAUMARCA,-8.545443,-77.625392,11,33,NO,NO,NO
207,ANCASH,SIHUAS,SIHUAS,ÑUNYASH,-8.545538,-77.63789,6,20,NO,NO,NO
208,ANCASH,YUNGAY,MANCOS,CRUZ CATAC,-9.213582,-77.689763,17,52,NO,YUNGAY,MANCOS
209,ANCASH,YUNGAY,MANCOS,MITA,-9.20835,-77.69059,83,245,NO,NO,NO
210,ANCASH,YUNGAY,QUILLO,HUASCARAN,-9.406978,-77.986707,40,189,NO,NO,QUILLO
211,ANCASH,YUNGAY,QUILLO,PACCHAC,-9.307992,-77.98036,12,39,NO,NO,NO
212,ANCASH,YUNGAY,QUILLO,PIRHUASH,-9.316445,-77.978633,43,145,NO,NO,NO
213,ANCASH,YUNGAY,SHUPLUY,CABRACANCHA,-9.223262,-77.705212,0,0,NO,NO,SHUPLUY
214,ANCASH,YUNGAY,SHUPLUY,SHUPLUY,-9.216856,-77.693927,62,198,NO,NO,NO
215,APURIMAC,ABANCAY,ABANCAY,MARCAHUASI,-13.627715,-72.859438,24,85,APURIMAC,ABANCAY,ABANCAY
216,APURIMAC,ABANCAY,CIRCA,ATUNRUMIYOC,-13.894897,-72.909848,0,0,NO,NO,CIRCA
217,APURIMAC,ABANCAY,CIRCA,CAPILLAYOCCO,-13.895757,-72.907152,0,0,NO,NO,NO
218,APURIMAC,ABANCAY,CIRCA,CHANGAS,-13.909733,-72.893117,4,6,NO,NO,NO
219,APURIMAC,ABANCAY,CIRCA,FACCHAC,-13.908585,-72.887123,1,1,NO,NO,NO
220,APURIMAC,ABANCAY,CIRCA,HEPOCHACA,-13.899092,-72.903955,0,0,NO,NO,NO
221,APURIMAC,ABANCAY,CIRCA,HUAMPUNI,-13.89041,-72.89855,0,0,NO,NO,NO
222,APURIMAC,ABANCAY,CIRCA,HUAYNA SOCCOS,-13.896052,-72.903788,0,0,NO,NO,NO
223,APURIMAC,ABANCAY,CIRCA,LUCMAYOC,-13.891688,-72.895323,2,7,NO,NO,NO
224,APURIMAC,ABANCAY,CIRCA,MISCA,-13.89477,-72.902197,4,5,NO,NO,NO
225,APURIMAC,ABANCAY,CIRCA,SOCCOS,-13.899655,-72.902478,11,27,NO,NO,NO
226,APURIMAC,ABANCAY,LAMBRAMA,CALIZFACCHA,-13.857165,-72.777397,2,3,NO,NO,LAMBRAMA
227,APURIMAC,ABANCAY,LAMBRAMA,HUANCACHACA,-13.800058,-72.847237,0,0,NO,NO,NO
228,APURIMAC,ABANCAY,LAMBRAMA,HUARAMPATA,-13.864383,-72.77225,3,10,NO,NO,NO
229,APURIMAC,ABANCAY,LAMBRAMA,ITUNEZ,-13.853217,-72.77518,19,59,NO,NO,NO
230,APURIMAC,ABANCAY,LAMBRAMA,LAMBRAMA,-13.870951,-72.769735,186,579,NO,NO,NO
231,APURIMAC,ABANCAY,LAMBRAMA,MATARA,-13.741308,-72.899248,37,80,NO,NO,NO
232,APURIMAC,ABANCAY,LAMBRAMA,MOLINO,-13.816107,-72.809292,0,0,NO,NO,NO
233,APURIMAC,ABANCAY,LAMBRAMA,SIMA,-13.850933,-72.776967,1,1,NO,NO,NO
234,APURIMAC,ABANCAY,LAMBRAMA,SOCCOSPAMPA,-13.819747,-72.799682,30,85,NO,NO,NO
235,APURIMAC,ABANCAY,LAMBRAMA,SUNCHO,-13.795522,-72.85051,29,91,NO,NO,NO
236,APURIMAC,ABANCAY,PICHIRHUA,ASTANCIELO,-13.852597,-73.088575,3,8,NO,NO,PICHIRHUA
